N,종목명,현재가,전일비,등락률,액면가,시가,고가,저가
1416.0,ARIRANG 미국다우존스고배당주(합성 H),15620.0,45.0,+0.29%,0.0,15510.0,15620.0,15490.0
1417.0,대한제당우,2480.0,20.0,+0.81%,500.0,2520.0,2580.0,2465.0
1418.0,TRUE S&P500 VIX S/T 선물 ETN(H),16055.0,385.0,-2.34%,0.0,16060.0,16095.0,16055.0
1419.0,삼성 인버스 2X 항셍테크 ETN(H),8005.0,360.0,-4.30%,0.0,8490.0,8545.0,8005.0
1420.0,메리츠 레버리지 구리 선물 ETN(H),15960.0,415.0,-2.53%,0.0,15960.0,15960.0,15960.0
1421.0,TIMEFOLIO 탄소중립액티브,12260.0,125.0,+1.03%,0.0,12170.0,12265.0,12165.0
1422.0,메리츠 미국레버리지 인플레이션국채ETN(H),7955.0,90.0,-1.12%,0.0,7955.0,7955.0,7955.0
1423.0,KBSTAR 미국S&P500(H),10555.0,10.0,+0.09%,0.0,10550.0,10575.0,10550.0
1424.0,하나 레버리지 구리 선물 ETN(H),15820.0,425.0,-2.62%,0.0,15820.0,15820.0,15820.0
1425.0,TIGER MSCI KOREA ESG리더스,9070.0,40.0,-0.44%,0.0,9070.0,9070.0,9070.0
1426.0,대신 철광석 선물 ETN(H) B,15715.0,130.0,-0.82%,0.0,15585.0,15715.0,15560.0
1427.0,KODEX 미국나스닥100(H),10805.0,15.0,+0.14%,0.0,10795.0,10805.0,10780.0
1428.0,QV 미국 IT TOP5 ETN(H),22380.0,55.0,+0.25%,0.0,22330.0,22380.0,22330.0
1429.0,TIGER K게임,9765.0,45.0,-0.46%,0.0,9835.0,9905.0,9685.0
1430.0,한화우,32600.0,200.0,+0.62%,5000.0,32200.0,33650.0,32200.0
1431.0,일정실업,12900.0,0.0,0.00%,5000.0,0.0,0.0,0.0
1432.0,KODEX 코스닥150롱코스피200숏선물,10290.0,90.0,+0.88%,0.0,10300.0,10300.0,10195.0
1433.0,QV 인버스 레버리지 금 선물 ETN(H),15330.0,0.0,0.00%,0.0,15330.0,15330.0,15330.0
1434.0,TRUE 인버스 2X 은 선물 ETN,15310.0,720.0,+4.93%,0.0,15245.0,15520.0,15245.0
1435.0,미래에셋 인버스 2X 은 선물 ETN,15295.0,825.0,+5.70%,0.0,15340.0,15505.0,15285.0
